"BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"40510003","R","N","N corner of GRAND AV and REMSEN PL","D","QW051","1,012,103.83470032","203,022.94997504","1,012,076.64348173","202,983.3014323","GRAND AV","REMSEN PL","20467","POINT (-73.899510459 40.7238839158)"
"10430343","H","Direction TBD","Location Description T/K","B","MN043","985,103.38312389","218,572.41133013","985,057.39998879","218,598.07267798","Street Name TBD",,"5965","POINT (-73.9969192367 40.7666071024)"
"40410078","S","SW","SW corner of BROADWAY and 74 ST","D","QW041","1,014,310.73579831","211,263.82850638","1,014,330.76298922","211,304.0131373","BROADWAY","74 ST","15082","POINT (-73.8915117083 40.7464958536)"
"10210045","S","NE","NE corner of VARICK ST and CHARLTON ST","D","MN021","982,777.36316964","204,246.10140014","982,750.26545481","204,214.73564921","VARICK ST","CHARLTON ST","193","POINT (-74.0053131686 40.7272848987)"
"10230284","H","NW","NW corner of UNIVERSITY PL and E 12 ST","B","MN023","986,238.28735015","206,730.72307129","986,239.39561564","206,690.91179922","UNIVERSITY PL","E 12 ST","53905","POINT (-73.992825667 40.7341044759)"
"31520029","S","SW","SW corner of AV U and E 23 ST","D","BKS152","998,506.72114657","157,694.9943713","998,530.94255482","157,738.38175172","AV U","E 23 ST","18837","POINT (-73.9486612071 40.5995010955)"
"31610100","S","NE","NE corner of HEGEMAN AV and CHESTER ST","D","BKN161","1,009,736.89258382","178,393.3230533","1,009,727.6291509","178,357.77653647","HEGEMAN AV","CHESTER ST","8962","POINT (-73.9081429552 40.6562884375)"
"40210035","H","NE","NE corner of WOODSIDE AV and 61 ST","D","QW021","1,011,008.87396373","210,704.10948147","1,010,966.56696172","210,695.4808898","WOODSIDE AV","61 ST","17698","POINT (-73.903430245 40.7449701739)"
"31420044","S","NW","NW corner of CONEY ISLAND AV and DITMAS AV","D","BKS142","993,057.94431448","171,261.32878713","993,079.89046481","171,251.52106397","CONEY ISLAND AV","DITMAS AV","21031","POINT (-73.9682646815 40.6367449538)"
"30220116","S","E","E corner of ATLANTIC AV and NEVINS ST","D","BKN022","989,123.78715657","189,266.16646504","989,084.33054256","189,257.23669288","ATLANTIC AV","NEVINS ST","11260","POINT (-73.9824265666 40.6861672951)"
"10410034","R","NW","NW corner of 8 AV and W 18 ST","O","MN041","984,029.00338289","209,771.01128204","984,030.07916814","209,734.30466256","8 AV","W 18 ST","699","POINT (-74.0007975215 40.7424495344)"
