year,month,Complaint Type,Borough,count
2013,11,Collection,QUEENS,450
2013,11,Collection,STATEN ISLAND,277
2013,11,Sweeping,BRONX,10
2013,11,Sweeping,BROOKLYN,112
2013,11,Sweeping,MANHATTAN,28
2013,11,Sweeping,QUEENS,67
2013,12,Basket,BRONX,13
2013,12,Basket,BROOKLYN,76
2013,12,Basket,MANHATTAN,46
2013,12,Basket,QUEENS,25
2013,12,Basket,STATEN ISLAND,15
2013,12,Collection,BRONX,98
2013,12,Collection,BROOKLYN,380
2013,12,Collection,MANHATTAN,155
2013,12,Collection,QUEENS,619
2013,12,Collection,STATEN ISLAND,247
2013,12,Sweeping,BRONX,8
2013,12,Sweeping,BROOKLYN,66
2013,12,Sweeping,MANHATTAN,23
2013,12,Sweeping,QUEENS,24
2014,1,Basket,BRONX,22
2014,1,Basket,BROOKLYN,51
2014,1,Basket,MANHATTAN,73
2014,1,Basket,QUEENS,46
2014,1,Basket,STATEN ISLAND,20
2014,1,Collection,BRONX,335
2014,1,Collection,BROOKLYN,1192
2014,1,Collection,MANHATTAN,256
2014,1,Collection,QUEENS,1022
2014,1,Collection,STATEN ISLAND,1354
2014,1,Sweeping,BRONX,4
2014,1,Sweeping,BROOKLYN,33
2014,1,Sweeping,MANHATTAN,12
2014,1,Sweeping,QUEENS,6
2014,1,Sweeping,STATEN ISLAND,1
2014,2,Basket,BRONX,20
2014,2,Basket,BROOKLYN,90
2014,2,Basket,MANHATTAN,55
2014,2,Basket,QUEENS,39
2014,2,Basket,STATEN ISLAND,20
2014,2,Collection,BRONX,54
2014,2,Collection,BROOKLYN,134
2014,2,Collection,MANHATTAN,39
