year_month,Complaint Type,census_tract_id,complaint_count
2010-01,Missing Collection,36047032100,1
2010-01,Missing Collection,36047032600,3
2010-01,Missing Collection,36047032900,2
2010-01,Missing Collection,36047033500,1
2010-01,Missing Collection,36047033600,2
2010-01,Missing Collection,36047033702,1
2010-01,Missing Collection,36047034100,1
2010-01,Missing Collection,36047035500,3
2010-01,Missing Collection,36047035701,1
2010-01,Missing Collection,36047036002,1
2010-01,Missing Collection,36047036400,1
2010-01,Missing Collection,36047036600,2
2010-01,Missing Collection,36047037000,5
2010-01,Missing Collection,36047037100,2
2010-01,Missing Collection,36047037300,1
2010-01,Missing Collection,36047037401,2
2010-01,Missing Collection,36047037402,1
2010-01,Missing Collection,36047037500,1
2010-01,Missing Collection,36047037700,4
2010-01,Missing Collection,36047037900,1
2010-01,Missing Collection,36047038300,4
2010-01,Missing Collection,36047038600,4
2010-01,Missing Collection,36047038700,2
2010-01,Missing Collection,36047038800,4
2010-01,Missing Collection,36047038900,1
2010-01,Missing Collection,36047039000,2
2010-01,Missing Collection,36047039300,1
2010-01,Missing Collection,36047039600,2
2010-01,Missing Collection,36047039700,2
2010-01,Missing Collection,36047039800,1
2010-01,Missing Collection,36047039900,1
2010-01,Missing Collection,36047040600,1
2010-01,Missing Collection,36047041000,1
2010-01,Missing Collection,36047041200,2
2010-01,Missing Collection,36047041401,2
2010-01,Missing Collection,36047041402,1
2010-01,Missing Collection,36047041600,1
2010-01,Missing Collection,36047041700,1
2010-01,Missing Collection,36047041900,1
2010-01,Missing Collection,36047042100,1
2010-01,Missing Collection,36047042200,2
2010-01,Missing Collection,36047042300,1
2010-01,Missing Collection,36047042400,1
2010-01,Missing Collection,36047043400,1
2010-01,Missing Collection,36047043700,1
2010-01,Missing Collection,36047044200,2
2010-01,Missing Collection,36047044901,2
2010-01,Missing Collection,36047045300,1
2010-01,Missing Collection,36047045400,2
2010-01,Missing Collection,36047045600,1
2010-01,Missing Collection,36047046000,1
2010-01,Missing Collection,36047046201,1
2010-01,Missing Collection,36047046202,1
2010-01,Missing Collection,36047047000,2
2010-01,Missing Collection,36047047200,1
2010-01,Missing Collection,36047047800,1
2010-01,Missing Collection,36047048000,1
2010-01,Missing Collection,36047048100,1
2010-01,Missing Collection,36047048400,1
2010-01,Missing Collection,36047048500,1
2010-01,Missing Collection,36047048600,1
2010-01,Missing Collection,36047048800,1
2010-01,Missing Collection,36047049302,2
2010-01,Missing Collection,36047049400,1
2010-01,Missing Collection,36047049500,1
2010-01,Missing Collection,36047049700,4
2010-01,Missing Collection,36047049900,1
2010-01,Missing Collection,36047050300,5
2010-01,Missing Collection,36047050500,1
2010-01,Missing Collection,36047050900,2
2010-01,Missing Collection,36047051100,2
2010-01,Missing Collection,36047051300,1
2010-01,Missing Collection,36047051400,1
2010-01,Missing Collection,36047051500,1
2010-01,Missing Collection,36047051601,1
2010-01,Missing Collection,36047051602,1
2010-01,Missing Collection,36047051800,3
2010-01,Missing Collection,36047051900,2
2010-01,Missing Collection,36047052500,3
2010-01,Missing Collection,36047052700,2
2010-01,Missing Collection,36047052900,1
2010-01,Missing Collection,36047053000,2
2010-01,Missing Collection,36047053102,3
2010-01,Missing Collection,36047053400,1
2010-01,Missing Collection,36047053800,1
2010-01,Missing Collection,36047053900,2
2010-01,Missing Collection,36047054400,2
2010-01,Missing Collection,36047054500,1
2010-01,Missing Collection,36047054700,2
2010-01,Missing Collection,36047054800,1
2010-01,Missing Collection,36047054900,2
2010-01,Missing Collection,36047055000,3
2010-01,Missing Collection,36047055400,5
2010-01,Missing Collection,36047055600,1
2010-01,Missing Collection,36047055800,1
2010-01,Missing Collection,36047056000,4
2010-01,Missing Collection,36047056100,2
2010-01,Missing Collection,36047056200,1
2010-01,Missing Collection,36047056301,1
2010-01,Missing Collection,36047056500,1
2010-01,Missing Collection,36047056800,1
2010-01,Missing Collection,36047056900,2
2010-01,Missing Collection,36047057000,1
2010-01,Missing Collection,36047057100,1
2010-01,Missing Collection,36047057300,2
